name,region,year,committee,DirectMatch,FuzzyMatch,Continent,ApproximateDoctoralGradYear,Gender,Source
David Maltz,Microsoft,2017,Program,Male,Male,North America,2001,Male,FullNameMatch
Z. Morley Mao,University of Michigan,2017,Program,Female,Female,North America,2003,Female,FullNameMatch
Michael Mitzenmacher,Harvard University,2017,Program,Male,Male,North America,1996,Male,FullNameMatch
Jason Nieh,Columbia University,2017,Program,Male,Male,North America,1999,Male,FullNameMatch
George Porter,"University of California, San Diego",2017,Program,Male,Male,North America,2008,Male,FullNameMatch
Luigi Rizzo,University of Pisa,2017,Program,Male,Male,Europe,1998,Male,FullNameMatch
Srini Seshan,Carnegie Mellon University,2017,Program,Male,Male,North America,1993,Male,FullNameMatch
Anees Shaikh,Google,2017,Program,Male,Male,North America,1998,Male,FullNameMatch
Ankit Singla,ETH Zurich,2017,Program,Male,Male,Europe,2015,Male,FullNameMatch
Robbert van Renesse,Cornell University,2017,Program,Male,Male,North America,1989,Male,FullNameMatch
Geoff Voelker,"University of California, San Diego",2017,Program,Male,Male,North America,2000,Male,FullNameMatch
David Wetherall,Google,2017,Program,Male,Male,North America,1998,Male,FullNameMatch
Adam Wierman,California Institute of Technology,2017,Program,Male,Male,North America,2007,Male,FullNameMatch
John Wilkes,Google,2017,Program,Male,Male,North America,1982,Male,FullNameMatch
Minlan Yu,University of Southern California,2017,Program,Female,Female,North America,2011,Female,FullNameMatch
Heather Zheng,"University of California, Santa Barbara",2017,Program,Female,Female,North America,1999,Female,FullNameMatch
Lin Zhong,Rice University,2017,Program,Male,Male,North America,2005,Male,FullNameMatch
Rachit Agarwal,Cornell University,2018,Program,,Male,North America,2012,Male,FuzzyMatch
Mohamed Alizadeh,MIT,2018,Program,,Male,North America,2013,Male,FuzzyMatch
Katerina Argyraki,EPFL,2018,Program,,Female,Europe,2007,Female,FuzzyMatch
Ranjita Bhagwan,Microsoft Research,2018,Program,Female,Female,Asia,2004,Female,FullNameMatch
Marco Canini,KAUST,2018,Program,Male,Male,Asia,2009,Male,FullNameMatch
